,2000 1% Census OCC code,2000 5% Census OCC code,2000-2004 ACS OCC code,2005-2009 ACS/PRCS OCC code,2010-2012 ACS/PRCS OCC code,2013-2017 ACS/PRCS OCC code,2018 ACS/PRCS OCC code,2000 1% Census OCCSOC code,2000 5% Census OCCSOC code,2000-2004 ACS OCCSOC code,2005-2009 ACS/PRCS OCCSOC code,2010-2012 ACS/PRCS OCCSOC,2013-2017 ACS/PRCS OCCSOC code,2018 Onward ACS/PRCS,Occupation title
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not Applicable (Under 16 years or not in the labor force, who last worked more than 5 years ago--also see occ code 992 or occsoc code 999920)"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",,,,,,,,,,,,,,,
Management Occupations:,,,,,,,,,,,,,,,
,1,1,10,,,,,111011,111011,111011,,,,,Chief Executives
,,,,10,10,10,10,,,,1110XX,1110XX,1110XX,1110XX,Chief Executives and Legislators
,2,2,20,20,20,20,20,111021,111021,111021,111021,111021,111021,111021,General and Operations Managers
,3,3,30,,,,,111031,111031,111031,,,,,Legislators
,4,4,40,40,40,40,40,112011,112011,112011,112011,112011,112011,112011,Advertising and Promotions Managers
,5,5,50,50,50,50,,112020,112020,112020,112020,112020,112020,,Marketing and Sales Managers
,,,,,,,51,,,,,,,112021,Marketing Managers
,,,,,,,52,,,,,,,112022,Sales Managers
,6,6,60,60,,,,112031,112031,112031,112031,,,,Public Relations Managers
,,,,,60,60,,,,,,112031,112031,,Public Relations and Fundraising Managers
,,,,,,,60,,,,,,,112030,Public Relations and Fundraising Managers
,10,10,100,100,100,100,,113011,113011,113011,113011,113011,113011,,Administrative Services Managers
,,,,,,,101,,,,,,,113012,Administrative Services Managers
,,,,,,,102,,,,,,,113013,Facilities Managers
,11,11,110,110,110,110,110,113021,113021,113021,113021,113021,113021,113021,Computer and Information Systems Managers
,12,12,120,120,120,120,120,113031,113031,113031,113031,113031,113031,113031,Financial Managers
,13,13,130,130,,,,113040,113040,113040,113040,,,,Human Resources Managers
,,,,,135,135,135,,,,,113111,113111,113111,Compensation and Benefits Managers
,,,,,136,136,136,,,,,113121,113121,113121,Human Resources Managers
,,,,,137,137,137,,,,,113131,113131,113131,Training and Development Managers
,14,14,140,140,140,140,140,113051,113051,113051,113051,113051,113051,113051,Industrial Production Managers
,15,15,150,150,150,150,150,113061,113061,113061,113061,113061,113061,113061,Purchasing Managers
,16,16,160,160,160,160,160,113071,113071,113071,113071,113071,113071,113071,"Transportation, Storage, and Distribution Managers"
,20,20,200,200,,,,119011,119011,119011,119011,,,,"Farm, Ranch, and Other Agricultural Managers"
,,,,,205,205,205,,,,,119013,119013,119013,"Farmers, Ranchers, and Other Agricultural Managers"
,21,21,210,210,,,,119012,119012,119012,119012,,,,Farmers and Ranchers
,22,22,220,220,220,220,220,119021,119021,119021,119021,119021,119021,119021,Constructions Managers
,23,23,230,230,230,230,,119030,119030,119030,119030,119030,119030,,Education Administrators
,,,,,,,230,,,,,,,119030,Education And Childcare Administrators
,30,30,300,300,,,,119041,119041,119041,119041,,,,Engineering Managers
,,,,,300,300,300,,,,,119041,119041,119041,Architectural and Engineering Managers
,31,31,310,310,310,310,310,119051,119051,119051,119051,119051,119051,119051,Food Service Managers
,32,32,320,320,,,,119061,119061,119061,119061,,,,Funeral Directors
,33,33,330,330,330,330,,119071,119071,119071,119071,119071,119071,,Gaming Managers
,,,,,,,335,,,,,,,119070,Entertainment And Recreation Managers
,34,34,340,340,340,340,340,119081,119081,119081,119081,119081,119081,119081,Lodging Managers
,35,35,350,350,350,350,350,119111,119111,119111,119111,119111,119111,119111,Medical and Health Services Managers
,36,36,360,360,360,360,360,119121,119121,119121,119121,119121,119121,119121,Natural Science Managers
,40,40,400,,,,,119131,119131,119131,,,,,Postmasters and Mail Superintendents
,41,41,410,410,410,410,410,119141,119141,119141,119141,119141,119141,119141,"Property, Real Estate, and Community Association Managers"
,42,42,420,420,420,420,420,119151,119151,119151,119151,119151,119151,119151,Social and Community Service Managers
,,,,,425,425,425,,,,,119161,119161,119161,Emergency Management Directors
,43,43,430,,,,,119199,119199,119199,,,,,"Managers, All Other"
,,,,430,,,,,,,119190,,,,Miscellaneous managers including postmansters and mail superintendents
,,,,,430,430,,,,,,119XXX,119XXX,,"Miscellaneous Managers, Including Funeral Service Managers and Postmasters and Mail Superintendents"
,,,,,,,440,,,,,,,1191XX,Other Managers
Business and Financial Operations Occupations:,,,,,,,,,,,,,,,
,50,50,500,500,500,500,500,131011,131011,131011,131011,131011,131011,131011,"Agents and Business Managers of Artists, Performers, and Athletes"
,51,51,510,510,510,510,510,131021,131021,131021,131021,131021,131021,131021,"Buyers and Purchasing Agents, Farm Products"
,52,52,520,520,520,520,520,131022,131022,131022,131022,131022,131022,131022,"Wholesale and Retail Buyers, Except Farm Products"
,53,53,530,530,530,530,530,131023,131023,131023,131023,131023,131023,131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
,54,54,540,540,540,540,540,131030,131030,131030,131030,131030,131030,131030,"Claims Adjusters, Appraisers, Examiners, and Investigators"
,56,56,560,560,,,,131041,131041,131041,131041,,,,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation"
,,,,,565,565,565,,,,,131041,131041,131041,Compliance Officers
,60,60,600,600,600,600,600,131051,131051,131051,131051,131051,131051,131051,Cost Estimators
,62,62,620,620,,,,131070,131070,131070,131070,,,,"Human Resources, Training, and Labor Relations Specialists"
,,,,,630,630,630,,,,,131070,131070,131070,Human Resources Workers
,,,,,640,640,640,,,,,131141,131141,131141,"Compensation, Benefits, and Job Analysis Specialists"
,,,,,650,650,650,,,,,131151,131151,131151,Training and Development Specialists
